13_06_23_140318
Step, JointNo, Ex(t), Ey(t), BaselineX, E_Multiplier, Bx, By, Bz
15,5,-212.833,289.833,,0.702048,25.6,6.12155,-3.06078,13.9688
16,5,-216.167,281.167,,0.6946,27,6.45632,-3.22816,14.7327
17,5,-210.667,280.833,,0.686453,28.4,6.7911,-3.39555,15.4966
18,5,-196.833,282,,0.668762,29.8,7.12587,-3.56293,16.2606
19,5,-201.333,274.167,,0.664106,31.2,7.46064,-3.73032,17.0245
20,5,-202,256.167,,0.639898,32.6,7.79541,-3.89771,17.7884
21,5,-187.5,264.833,,0.63175,34,8.13019,-4.06509,18.5523
22,5,-196.667,244.833,,0.61662,35.4,8.46496,-4.23248,19.3162
23,5,-182.667,249.667,,0.603818,36.8,8.79973,-4.39987,20.0801
24,5,-168,261.333,,0.599628,38.2,9.1345,-4.56725,20.8441
24,5,-157.833,260.167,,0.583799,38.2,9.1345,-4.56725,20.8441
24,5,-154.833,264.333,,0.585428,38.2,9.1345,-4.56725,20.8441
13_06_23_142528
Step, JointNo, Ex(t), Ey(t), BaselineX, E_Multiplier, Bx, By, Bz
1,5,-344.667,327.5,,1.00025,6,1.43474,-0.71737,3.27394
2,5,-311.833,333.667,,0.960565,7.4,1.76951,-0.884756,4.03786
3,5,-311.667,323,,0.944444,8.8,2.10428,-1.05214,4.80178
4,5,-293.333,324,,0.918651,10.2,2.43906,-1.21953,5.56569
5,5,-282,324,,0.901786,11.6,2.77383,-1.38691,6.32961
6,5,-271.667,316.5,,0.875248,13,3.1086,-1.5543,7.09353
7,5,-262,318.333,,0.863591,14.4,3.44337,-1.72169,7.85745
8,5,-259.833,310.167,,0.848214,15.8,3.77815,-1.88907,8.62137
9,5,-242.667,312.667,,0.826389,17.2,4.11292,-2.05646,9.38529
10,5,-236.167,309.5,,0.812004,18.6,4.44769,-2.22385,10.1492
11,5,-237.333,297.667,,0.796131,20,4.78246,-2.39123,10.9131
12,5,-222.167,299.333,,0.776042,21.4,5.11724,-2.55862,11.677
13,5,-224.667,290,,0.765873,22.8,5.45201,-2.726,12.441
14,5,-224.333,293.5,,0.770585,24.2,5.78678,-2.89339,13.2049
15,5,-209.5,299.333,,0.757192,25.6,6.12155,-3.06078,13.9688
16,5,-216.5,278.667,,0.736855,27,6.45632,-3.22816,14.7327
13_06_23_142954
Step, JointNo, Ex(t), Ey(t), BaselineX, E_Multiplier, Bx, By, Bz
1,5,-122.833,166.5,,1.00463,6,2.74438,-1.37219,3.29808
2,5,-18.5,158,,0.612847,7.4,3.38473,-1.69237,4.06763
3,5,-9.33333,114.833,,0.431134,7.4,3.43212,-1.71606,4.12458
4,5,-1.66667,134.333,,0.472222,7.4,3.48017,-1.74008,4.18232
5,5,0.666667,138.833,,0.484375,7.4,3.43144,-1.71572,4.12377
6,5,0.666667,136.333,,0.475694,7.4,3.3834,-1.6917,4.06604
7,5,0.666667,137.333,,0.479167,7.4,3.33604,-1.66802,4.00911
8,5,0.666667,136.333,,0.475694,7.4,3.28933,-1.64467,3.95299
