03_04_23_152953
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
23_05_23_105822
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,1.58567,0,2.47379
1,250,-250,0,0,-0,0
2,252,0,7,2.21994,-1.10997,3.46331
3,170,82,12,3.80561,-1.9028,5.93711
4,125,45,17.5,5.54985,-2.77492,8.65828
5,92,33,23.5,7.45265,-3.72633,11.6268
6,72,20,23.5,8.19444,-4.09722,12.7841
7,63,9,23.5,8.92297,-4.46148,13.9207
8,64,-1,23.5,8.10428,-4.05214,12.6434
9,73,-9,23.5,7.13688,-3.56844,11.1342
10,66,7,23.5,7.83325,-3.91663,12.2206
11,63,3,23.5,8.52967,-4.26484,13.3071
12,59,4,23.5,9.19477,-4.59738,14.3447
13,61,-2,23.5,8.42838,-4.21419,13.1491
14,63,-2,23.5,7.67905,-3.83953,11.98
15,61,2,23.5,8.3191,-4.15955,12.9786
16,63,-2,23.5,7.57949,-3.78974,11.8247
17,61,2,23.5,8.21124,-4.10562,12.8103
18,64,-3,23.5,7.45786,-3.72893,11.635
19,65,-1,23.5,6.75205,-3.37602,10.5338
23_05_23_111122
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,-0.342293,0,0.950686
1,378,-378,0,0,-0,0
2,378,0,7,-0.47921,-0.239605,1.33096
3,381,-3,0,0,-0,0
4,375,6,7,-0.47921,-0.239605,1.33096
5,380,-5,0,0,-0,0
6,376,4,7,-0.47921,-0.239605,1.33096
6,380,-4,7,-0.47921,-0.239605,1.33096
23_05_23_111456
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,-0.342293,0,0.950686
1,364,-364,10,-0.684586,-0.342293,1.90137
2,368,-4,17,-1.1638,-0.581898,3.23233
3,375,-7,24,-1.64301,-0.821503,4.56329
4,384,-9,31,-2.12222,-1.06111,5.89425
5,384,0,24,-1.64301,-0.821503,4.56329
6,389,-5,31,-2.12222,-1.06111,5.89425
7,391,-2,38,-2.60143,-1.30071,7.22521
8,390,1,31,-2.12222,-1.06111,5.89425
9,396,-6,38,-2.60143,-1.30071,7.22521
10,393,3,31,-2.12222,-1.06111,5.89425
11,390,3,24,-1.64301,-0.821503,4.56329
12,394,-4,31,-2.12222,-1.06111,5.89425
13,395,-1,38,-2.60143,-1.30071,7.22521
14,391,4,31,-2.12222,-1.06111,5.89425
15,396,-5,38,-2.60143,-1.30071,7.22521
16,397,-1,45,-3.08064,-1.54032,8.55617
17,395,2,38,-2.60143,-1.30071,7.22521
17,400,-5,38,-2.60143,-1.30071,7.22521
23_05_23_111744
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,1.52521,0,2.02948
1,308,-308,0,0,-0,0
2,308,0,7,2.1353,-1.06765,2.84127
3,225,83,12,3.66051,-1.83026,4.87075
4,177,48,17.5,5.33825,-2.66912,7.10318
5,128,49,23,7.01598,-3.50799,9.33561
6,99,29,23,7.88582,-3.94291,10.493
7,93,6,23,8.89238,-4.44619,11.8324
8,72,21,23,9.47551,-4.73775,12.6083
9,71,1,23,10.1804,-5.09022,13.5463
9,62,0,23,10.1804,-5.09022,13.5463
23_05_23_111827
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,1.52521,0,2.02948
1,295,-295,0,0,-0,0
2,293,2,7,2.1353,-1.06765,2.84127
3,221,72,12,3.66051,-1.83026,4.87075
4,175,46,17.5,5.33825,-2.66912,7.10318
5,129,46,17.5,6.46111,-3.23056,8.59728
6,108,21,17.5,7.5003,-3.75015,9.98004
7,90,18,17.5,8.33802,-4.16901,11.0947
8,81,9,17.5,9.21809,-4.60904,12.2658
9,71,10,17.5,9.96564,-4.98282,13.2605
10,64,7,17.5,10.6223,-5.31116,14.1343
11,63,1,17.5,11.3006,-5.65028,15.0367
12,57,6,17.5,11.8912,-5.9456,15.8227
13,55,2,17.5,12.4699,-6.23494,16.5927
14,59,-4,17.5,11.7716,-5.88579,15.6635
15,58,1,17.5,12.4086,-6.20431,16.5112
16,48,10,17.5,12.8686,-6.43428,17.1232
