03_04_23_152953
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,-3.02488,0,-1.51092
1,360,-360,4,-2.41991,-1.20995,-1.20874
2,419,-59,0,0,-0,0
3,379,40,4,-2.41991,-1.20995,-1.20874
4,429,-50,0,0,-0,0
5,382,47,4,-2.41991,-1.20995,-1.20874
6,420,-38,0,0,-0,0
7,393,27,4,-2.41991,-1.20995,-1.20874
8,422,-29,0,0,-0,0
9,390,32,4,-2.41991,-1.20995,-1.20874
10,422,-32,0,0,-0,0
11,391,31,4,-2.41991,-1.20995,-1.20874
12,422,-31,0,0,-0,0
16_05_23_160501
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,3.02488,0,-1.51092
1,366,-366,4,2.41991,-1.20995,-1.20874
2,332,34,8,4.83982,-2.41991,-2.41748
3,255,77,10,6.04977,-3.02488,-3.02185
4,208,47,12,7.25972,-3.62986,-3.62621
5,158,50,14,8.46968,-4.23484,-4.23058
6,115,43,14,13.7922,-6.89608,-6.88915
6,43,-9,14,13.7922,-6.89608,-6.88915
16_05_23_161004
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,3.41736,0,-1.08302
1,399,-399,4,2.73389,-1.36694,-0.866419
2,360,39,8,5.46777,-2.73389,-1.73284
3,277,83,10,6.83471,-3.41736,-2.16605
4,223,54,12,8.20166,-4.10083,-2.59926
5,188,35,16,10.9355,-5.46777,-3.46568
6,130,58,16,18.0615,-9.03073,-5.72401
6,40,-9,16,18.0615,-9.03073,-5.72401
16_05_23_161032
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,-2.39935,0,-1.68864
1,374,-374,4,-1.91948,-0.959738,-1.35091
2,427,-53,0,0,-0,0
3,398,29,4,-1.91948,-0.959738,-1.35091
4,427,-29,0,0,-0,0
5,404,23,8,-3.83895,-1.91948,-2.70182
6,484,-80,4,-1.91948,-0.959738,-1.35091
7,467,17,12,-5.75843,-2.87921,-4.05273
8,519,-52,8,-3.83895,-1.91948,-2.70182
9,509,10,16,-7.67791,-3.83895,-5.40363
10,571,-62,12,-5.75843,-2.87921,-4.05273
11,554,17,20,-9.59738,-4.79869,-6.75454
12,572,-18,12,-5.75843,-2.87921,-4.05273
13,589,-17,4,-1.91948,-0.959738,-1.35091
14,494,95,8,-3.83895,-1.91948,-2.70182
16_05_23_163331
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,2.39935,0,-1.68864
1,401,-401,4,1.91948,-0.959738,-1.35091
2,381,20,12,5.75843,-2.87921,-4.05273
3,248,133,14,6.71817,-3.35908,-4.72818
4,205,43,18,8.63764,-4.31882,-6.07909
5,137,68,18,14.5397,-7.26984,-10.2329
5,86,-6,18,14.5397,-7.26984,-10.2329
16_05_23_163422
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,-1.00578,0,-3.11673
1,404,-404,4,-0.804627,-0.402313,-2.49338
2,352,52,8,-1.60925,-0.804627,-4.98677
3,254,98,10,-2.01157,-1.00578,-6.23346
4,203,51,12,-2.41388,-1.20694,-7.48015
5,150,53,14,-2.81619,-1.4081,-8.72684
6,302,-152,12,-2.41388,-1.20694,-7.48015
7,250,52,16,-3.21851,-1.60925,-9.97353
8,906,-656,15,-3.01735,-1.50868,-9.35019
9,952,-46,7,-1.4081,-0.704048,-4.36342
10,167,785,8,-1.60925,-0.804627,-4.98677
16_05_23_163445
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,-1.00578,0,-3.11673
1,380,-380,4,-0.804627,-0.402313,-2.49338
2,331,49,8,-1.60925,-0.804627,-4.98677
3,241,90,10,-2.01157,-1.00578,-6.23346
4,187,54,12,-2.41388,-1.20694,-7.48015
5,138,49,14,-2.81619,-1.4081,-8.72684
6,932,-794,13,-2.61504,-1.30752,-8.1035
7,311,621,14,-2.81619,-1.4081,-8.72684
8,935,-624,13,-2.61504,-1.30752,-8.1035
9,848,87,17,-3.41966,-1.70983,-10.5969
10,1028,-180,13,-2.61504,-1.30752,-8.1035
11,950,78,17,-3.41966,-1.70983,-10.5969
12,1039,-89,13,-2.61504,-1.30752,-8.1035
13,949,90,17,-3.41966,-1.70983,-10.5969
14,970,-21,9,-1.81041,-0.905205,-5.61011
16_05_23_163521
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,-1.06675,0,-2.24806
1,354,-354,4,-0.853404,-0.426702,-1.79845
2,323,31,8,-1.70681,-0.853404,-3.5969
3,249,74,10,-2.13351,-1.06675,-4.49613
4,218,31,14,-2.98691,-1.49346,-6.29458
5,146,72,16,-3.41362,-1.70681,-7.19381
6,116,30,16,-5.65079,-2.82539,-11.9084
7,968,-852,15,-3.20026,-1.60013,-6.74419
8,982,-14,7,-1.49346,-0.746728,-3.14729
9,175,807,8,-1.70681,-0.853404,-3.5969
10,175,0,16,-3.41362,-1.70681,-7.19381
11,168,7,24,-5.12042,-2.56021,-10.7907
12,938,-770,23,-4.90707,-2.45354,-10.3411
16_05_23_163550
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,-0.467643,0,-1.30809
1,387,-387,4,-0.374114,-0.187057,-1.04647
2,399,0,8,-0.748228,-0.374114,-2.09295
3,428,-29,4,-0.374114,-0.187057,-1.04647
4,426,2,12,-1.12234,-0.561171,-3.13942
5,451,-25,4,-0.374114,-0.187057,-1.04647
16_05_23_163639
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,0.467643,0,-1.30809
1,381,-381,4,0.374114,-0.187057,-1.04647
2,384,1,8,0.748228,-0.374114,-2.09295
3,391,-7,0,0,-0,0
4,394,1,8,0.748228,-0.374114,-2.09295
5,396,-2,0,0,-0,0
6,393,3,8,0.748228,-0.374114,-2.09295
7,397,-4,0,0,-0,0
16_05_23_163712
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,0.0576052,0,-1.87792
1,493,-493,4,0.0460841,-0.0230421,-1.50233
2,504,5,8,0.0921683,-0.0460841,-3.00467
3,533,-29,0,0,-0,0
4,511,22,8,0.0921683,-0.0460841,-3.00467
5,533,-22,0,0,-0,0
16_05_23_163736
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,-0.0576052,0,-1.87792
1,493,-493,4,-0.0460841,-0.0230421,-1.50233
2,506,1,8,-0.0921683,-0.0460841,-3.00467
3,541,-35,4,-0.0460841,-0.0230421,-1.50233
4,535,6,12,-0.138252,-0.0691262,-4.507
5,563,-28,4,-0.0460841,-0.0230421,-1.50233
6,558,5,12,-0.138252,-0.0691262,-4.507
7,564,-6,4,-0.0460841,-0.0230421,-1.50233
8,555,9,12,-0.138252,-0.0691262,-4.507
9,564,-9,4,-0.0460841,-0.0230421,-1.50233
10,553,11,12,-0.138252,-0.0691262,-4.507
11,562,-9,4,-0.0460841,-0.0230421,-1.50233
16_05_23_164531
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,-0.0576052,0,-1.87792
1,491,-491,4,-0.0460841,-0.0230421,-1.50233
2,508,1,8,-0.0921683,-0.0460841,-3.00467
3,547,-39,4,-0.0460841,-0.0230421,-1.50233
4,541,6,12,-0.138252,-0.0691262,-4.507
5,568,-27,4,-0.0460841,-0.0230421,-1.50233
6,559,9,12,-0.138252,-0.0691262,-4.507
7,565,-6,4,-0.0460841,-0.0230421,-1.50233
8,552,13,12,-0.138252,-0.0691262,-4.507
9,562,-10,4,-0.0460841,-0.0230421,-1.50233
10,553,9,12,-0.138252,-0.0691262,-4.507
11,570,-17,4,-0.0460841,-0.0230421,-1.50233
12,557,13,12,-0.138252,-0.0691262,-4.507
13,564,-7,4,-0.0460841,-0.0230421,-1.50233
14,551,13,12,-0.138252,-0.0691262,-4.507
15,567,-16,4,-0.0460841,-0.0230421,-1.50233
16_05_23_165127
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,-0.0576052,0,-1.87792
1,497,-497,4,-0.0460841,-0.0230421,-1.50233
2,506,3,8,-0.0921683,-0.0460841,-3.00467
3,539,-33,4,-0.0460841,-0.0230421,-1.50233
4,532,7,12,-0.138252,-0.0691262,-4.507
5,565,-33,4,-0.0460841,-0.0230421,-1.50233
6,552,13,12,-0.138252,-0.0691262,-4.507
7,566,-14,4,-0.0460841,-0.0230421,-1.50233
8,553,13,12,-0.138252,-0.0691262,-4.507
9,566,-13,4,-0.0460841,-0.0230421,-1.50233
10,554,12,12,-0.138252,-0.0691262,-4.507
11,568,-14,4,-0.0460841,-0.0230421,-1.50233
12,552,16,12,-0.138252,-0.0691262,-4.507
13,562,-10,4,-0.0460841,-0.0230421,-1.50233
14,555,7,12,-0.138252,-0.0691262,-4.507
15,567,-12,4,-0.0460841,-0.0230421,-1.50233
16,556,11,12,-0.138252,-0.0691262,-4.507
17,570,-14,4,-0.0460841,-0.0230421,-1.50233
18,554,16,12,-0.138252,-0.0691262,-4.507
19,567,-13,4,-0.0460841,-0.0230421,-1.50233
20,557,10,12,-0.138252,-0.0691262,-4.507
21,566,-9,4,-0.0460841,-0.0230421,-1.50233
16_05_23_165225
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,0.0576052,0,-1.87792
1,497,-497,4,0.0460841,-0.0230421,-1.50233
2,501,1,8,0.0921683,-0.0460841,-3.00467
3,534,-33,4,0.0460841,-0.0230421,-1.50233
4,522,12,12,0.138252,-0.0691262,-4.507
5,555,-33,4,0.0460841,-0.0230421,-1.50233
6,551,4,12,0.138252,-0.0691262,-4.507
7,557,-6,4,0.0460841,-0.0230421,-1.50233
16_05_23_165346
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,0.0576052,0,-1.87792
1,464,-464,4,0.0460841,-0.0230421,-1.50233
2,466,0,8,0.0921683,-0.0460841,-3.00467
3,484,-18,0,0,-0,0
4,475,9,8,0.0921683,-0.0460841,-3.00467
5,487,-12,0,0,-0,0
6,473,14,8,0.0921683,-0.0460841,-3.00467
7,488,-15,0,0,-0,0
8,473,15,8,0.0921683,-0.0460841,-3.00467
19_05_23_173817
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,0.024777,0,-1.30844
1,443,-443,4,0.0198216,-0.00991078,-1.04675
2,449,1,8,0.0396431,-0.0198216,-2.09351
3,463,-14,0,0,-0,0
4,453,10,8,0.0396431,-0.0198216,-2.09351
5,466,-13,0,0,-0,0
6,454,12,8,0.0396431,-0.0198216,-2.09351
7,465,-11,0,0,-0,0
8,456,9,8,0.0396431,-0.0198216,-2.09351
19_05_23_173859
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,0.0743309,0,-3.92533
1,441,-441,14,0.0693755,-0.0346877,-3.66364
2,485,-44,10,0.0495539,-0.024777,-2.61688
3,488,-3,2,0.00991078,-0.00495539,-0.523377
4,468,20,10,0.0495539,-0.024777,-2.61688
5,477,-9,2,0.00991078,-0.00495539,-0.523377
6,467,10,10,0.0495539,-0.024777,-2.61688
7,477,-10,2,0.00991078,-0.00495539,-0.523377
8,467,10,10,0.0495539,-0.024777,-2.61688
9,479,-12,2,0.00991078,-0.00495539,-0.523377
10,467,12,10,0.0495539,-0.024777,-2.61688
11,486,-19,2,0.00991078,-0.00495539,-0.523377
12,464,22,10,0.0495539,-0.024777,-2.61688
13,480,-16,2,0.00991078,-0.00495539,-0.523377
14,464,16,10,0.0495539,-0.024777,-2.61688
15,480,-16,2,0.00991078,-0.00495539,-0.523377
16,467,13,10,0.0495539,-0.024777,-2.61688
17,478,-11,2,0.00991078,-0.00495539,-0.523377
18,468,10,10,0.0495539,-0.024777,-2.61688
19_05_23_174015
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,0.0743309,0,-3.92533
1,441,-441,14,0.0693755,-0.0346877,-3.66364
2,489,-48,6,0.0297324,-0.0148662,-1.57013
3,478,11,22,0.109019,-0.0545093,-5.75715
4,536,-58,14,0.0693755,-0.0346877,-3.66364
5,530,6,30,0.148662,-0.0743309,-7.85065
6,588,-58,22,0.109019,-0.0545093,-5.75715
7,575,13,38,0.188305,-0.0941524,-9.94416
8,710,-135,30,0.148662,-0.0743309,-7.85065
9,755,-45,14,0.0693755,-0.0346877,-3.66364
19_05_23_174051
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,0.0743309,0,-3.92533
1,446,-446,16,0.0792863,-0.0396431,-4.18701
2,500,-54,24,0.118929,-0.0594647,-6.28052
3,554,-54,32,0.158573,-0.0792863,-8.37403
4,708,-154,36,0.178394,-0.0891971,-9.42078
5,726,-18,52,0.25768,-0.12884,-13.6078
6,495,231,48,0.237859,-0.118929,-12.561
7,488,7,32,0.158573,-0.0792863,-8.37403
8,581,-93,40,0.198216,-0.0991078,-10.4675
19_05_23_174253
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,0.0743309,0,-3.92533
1,448,-448,16,0.0792863,-0.0396431,-4.18701
2,524,-76,24,0.118929,-0.0594647,-6.28052
3,572,-48,32,0.158573,-0.0792863,-8.37403
4,753,-181,36,0.178394,-0.0891971,-9.42078
5,716,37,52,0.25768,-0.12884,-13.6078
6,484,232,56,0.277502,-0.138751,-14.6546
19_05_23_174531
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,-0.0743309,0,-3.92533
1,457,-457,16,-0.0792863,-0.0396431,-4.18701
2,532,-75,24,-0.118929,-0.0594647,-6.28052
3,575,-43,32,-0.158573,-0.0792863,-8.37403
4,780,-205,36,-0.178394,-0.0891971,-9.42078
19_05_23_174648
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,-0.0743309,0,-3.92533
1,488,-488,16,-0.0792863,-0.0396431,-4.18701
2,532,-44,24,-0.118929,-0.0594647,-6.28052
3,583,-51,32,-0.158573,-0.0792863,-8.37403
4,856,-273,36,-0.178394,-0.0891971,-9.42078
5,735,121,44,-0.218037,-0.109019,-11.5143
6,603,132,48,-0.237859,-0.118929,-12.561
7,557,46,56,-0.277502,-0.138751,-14.6546
8,480,77,64,-0.317145,-0.158573,-16.7481
9,409,71,72,-0.356788,-0.178394,-18.8416
10,350,59,80,-0.396431,-0.198216,-20.9351
22_05_23_170909
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,-0.382165,0,-3.9094
0,479,0,15,-0.382165,0,-3.9094
22_05_23_171126
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,-0.382165,0,-3.9094
0,475,-7,15,-0.382165,0,-3.9094
22_05_23_171240
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,-0.382165,0,-3.9094
0,480,0,15,-0.382165,0,-3.9094
22_05_23_171413
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,-0.382165,0,-3.9094
0,481,0,15,-0.382165,0,-3.9094
22_05_23_171503
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,-0.382165,0,-3.9094
1,476,-476,14,-0.356687,-0.178344,-3.64877
2,558,-82,13,-0.331209,-0.165605,-3.38815
3,555,3,14.4,-0.366878,-0.183439,-3.75302
4,559,-4,13,-0.331209,-0.165605,-3.38815
5,552,7,14.4,-0.366878,-0.183439,-3.75302
6,558,-6,13,-0.331209,-0.165605,-3.38815
7,557,1,14.4,-0.366878,-0.183439,-3.75302
8,567,-10,13,-0.331209,-0.165605,-3.38815
9,557,10,14.4,-0.366878,-0.183439,-3.75302
10,558,-1,13,-0.331209,-0.165605,-3.38815
11,558,0,14.4,-0.366878,-0.183439,-3.75302
12,561,-3,13,-0.331209,-0.165605,-3.38815
13,555,6,14.4,-0.366878,-0.183439,-3.75302
14,559,-4,13,-0.331209,-0.165605,-3.38815
15,558,1,14.4,-0.366878,-0.183439,-3.75302
16,559,-1,13,-0.331209,-0.165605,-3.38815
17,560,-1,11.6,-0.295541,-0.14777,-3.02327
18,555,5,13,-0.331209,-0.165605,-3.38815
19,564,-9,11.6,-0.295541,-0.14777,-3.02327
20,556,8,13,-0.331209,-0.165605,-3.38815
21,560,-4,11.6,-0.295541,-0.14777,-3.02327
22,556,4,13,-0.331209,-0.165605,-3.38815
22_05_23_171658
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,0.382165,0,-3.9094
1,484,-484,14,0.356687,-0.178344,-3.64877
2,524,-40,12.8,0.326114,-0.163057,-3.33602
3,525,-1,11.4,0.290445,-0.145223,-2.97114
4,520,5,12.8,0.326114,-0.163057,-3.33602
5,523,-3,11.4,0.290445,-0.145223,-2.97114
6,532,-9,10,0.254776,-0.127388,-2.60627
7,522,10,11.4,0.290445,-0.145223,-2.97114
8,520,2,12.8,0.326114,-0.163057,-3.33602
9,534,-14,11.4,0.290445,-0.145223,-2.97114
10,526,8,12.8,0.326114,-0.163057,-3.33602
11,524,2,14.2,0.361783,-0.180891,-3.7009
22_05_23_172402
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,0.382165,0,-3.9094
1,472,-472,16,0.407642,-0.203821,-4.17003
2,525,-53,14.9,0.379617,-0.189808,-3.88334
3,523,2,16.3,0.415286,-0.207643,-4.24822
4,528,-5,14.9,0.379617,-0.189808,-3.88334
5,526,2,16.3,0.415286,-0.207643,-4.24822
6,526,0,17.7,0.450954,-0.225477,-4.61309
7,537,-11,16.3,0.415286,-0.207643,-4.24822
8,534,3,17.7,0.450954,-0.225477,-4.61309
9,544,-10,16.3,0.415286,-0.207643,-4.24822
10,536,8,17.7,0.450954,-0.225477,-4.61309
11,546,-10,16.3,0.415286,-0.207643,-4.24822
12,547,-1,14.9,0.379617,-0.189808,-3.88334
13,537,10,16.3,0.415286,-0.207643,-4.24822
14,546,-9,14.9,0.379617,-0.189808,-3.88334
15,537,9,16.3,0.415286,-0.207643,-4.24822
16,545,-8,14.9,0.379617,-0.189808,-3.88334
17,533,12,16.3,0.415286,-0.207643,-4.24822
22_05_23_172612
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,0.382165,0,-3.9094
1,471,-471,16,0.407642,-0.203821,-4.17003
2,517,-46,14.9,0.379617,-0.189808,-3.88334
3,521,-4,13.5,0.343948,-0.171974,-3.51846
4,521,0,14.9,0.379617,-0.189808,-3.88334
5,522,-1,13.5,0.343948,-0.171974,-3.51846
6,518,4,14.9,0.379617,-0.189808,-3.88334
7,521,-3,13.5,0.343948,-0.171974,-3.51846
8,522,-1,12.1,0.30828,-0.15414,-3.15358
9,522,0,13.5,0.343948,-0.171974,-3.51846
10,523,-1,12.1,0.30828,-0.15414,-3.15358
22_05_23_173442
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,0.382165,0,-3.9094
1,471,-471,16,0.407642,-0.203821,-4.17003
2,518,-47,17.1,0.435668,-0.217834,-4.45672
22_05_23_174756
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,0.382165,0,-3.9094
1,494,-494,14,0.356687,-0.178344,-3.64877
2,515,-21,12.8,0.326114,-0.163057,-3.33602
3,524,-9,11.4,0.290445,-0.145223,-2.97114
4,523,1,12.8,0.326114,-0.163057,-3.33602
22_05_23_175034
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,0.382165,0,-3.9094
1,470,-470,14,0.356687,-0.178344,-3.64877
2,510,-40,12.8,0.326114,-0.163057,-3.33602
2,519,-9,12.8,0.326114,-0.163057,-3.33602
22_05_23_175737
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,0.382165,0,-3.9094
1,468,-468,14,0.356687,-0.178344,-3.64877
2,513,-45,12.9,0.328662,-0.164331,-3.36208
3,514,-1,11.5,0.292993,-0.146496,-2.99721
4,517,-3,10.1,0.257324,-0.128662,-2.63233
5,513,4,11.5,0.292993,-0.146496,-2.99721
6,516,-3,10.1,0.257324,-0.128662,-2.63233
7,513,3,11.5,0.292993,-0.146496,-2.99721
8,515,-2,12.9,0.328662,-0.164331,-3.36208
9,514,1,14.3,0.36433,-0.182165,-3.72696
10,520,-6,15.7,0.399999,-0.2,-4.09184
11,521,-1,17.1,0.435668,-0.217834,-4.45672
12,528,-7,18.5,0.471336,-0.235668,-4.82159
12,530,-2,18.5,0.471336,-0.235668,-4.82159
22_05_23_180243
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,-1.05545,0,-1.62801
1,242,-242,14,-0.985087,-0.492543,-1.51948
2,275,-33,12.8,-0.900651,-0.450325,-1.38923
3,277,-2,11.4,-0.802142,-0.401071,-1.23729
4,275,2,12.8,-0.900651,-0.450325,-1.38923
5,277,-2,11.4,-0.802142,-0.401071,-1.23729
6,277,0,12.8,-0.900651,-0.450325,-1.38923
7,278,-1,11.4,-0.802142,-0.401071,-1.23729
8,278,0,12.8,-0.900651,-0.450325,-1.38923
9,278,0,14.2,-0.999159,-0.49958,-1.54118
10,280,-2,12.8,-0.900651,-0.450325,-1.38923
11,278,2,14.2,-0.999159,-0.49958,-1.54118
22_05_23_180309
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,0.382165,0,-3.9094
1,472,-472,14,0.356687,-0.178344,-3.64877
2,518,-46,12.9,0.328662,-0.164331,-3.36208
3,518,0,14.3,0.36433,-0.182165,-3.72696
4,523,-5,12.9,0.328662,-0.164331,-3.36208
5,522,1,14.3,0.36433,-0.182165,-3.72696
6,524,-2,12.9,0.328662,-0.164331,-3.36208
22_05_23_180604
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,0.382165,0,-3.9094
1,466,-466,14,0.356687,-0.178344,-3.64877
2,512,-46,12.9,0.328662,-0.164331,-3.36208
3,513,-1,11.5,0.292993,-0.146496,-2.99721
4,510,3,12.9,0.328662,-0.164331,-3.36208
5,512,-2,11.5,0.292993,-0.146496,-2.99721
6,513,-1,10.1,0.257324,-0.128662,-2.63233
7,511,2,11.5,0.292993,-0.146496,-2.99721
8,512,-1,10.1,0.257324,-0.128662,-2.63233
9,511,1,11.5,0.292993,-0.146496,-2.99721
10,514,-3,10.1,0.257324,-0.128662,-2.63233
11,511,3,11.5,0.292993,-0.146496,-2.99721
12,510,1,12.9,0.328662,-0.164331,-3.36208
13,514,-4,11.5,0.292993,-0.146496,-2.99721
14,512,2,12.9,0.328662,-0.164331,-3.36208
15,513,-1,11.5,0.292993,-0.146496,-2.99721
16,513,0,12.9,0.328662,-0.164331,-3.36208
17,515,-2,11.5,0.292993,-0.146496,-2.99721
18,513,2,12.9,0.328662,-0.164331,-3.36208
22_05_23_180650
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,0.712995,0,-3.15171
1,327,-327,14,0.665462,-0.332731,-2.94159
2,349,-22,12.8,0.608422,-0.304211,-2.68946
3,350,-1,11.4,0.541876,-0.270938,-2.3953
4,349,1,12.8,0.608422,-0.304211,-2.68946
5,350,-1,11.4,0.541876,-0.270938,-2.3953
6,351,-1,10,0.47533,-0.237665,-2.10114
7,347,4,11.4,0.541876,-0.270938,-2.3953
8,348,-1,10,0.47533,-0.237665,-2.10114
9,348,0,11.4,0.541876,-0.270938,-2.3953
10,348,0,12.8,0.608422,-0.304211,-2.68946
22_05_23_180904
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,0.382165,0,-3.9094
1,464,-464,14,0.356687,-0.178344,-3.64877
2,509,-45,15.1,0.384712,-0.192356,-3.93546
3,515,-6,16.5,0.420381,-0.210191,-4.30034
4,520,-5,17.9,0.45605,-0.228025,-4.66522
5,527,-7,19.3,0.491718,-0.245859,-5.03009
6,537,-10,20.7,0.527387,-0.263694,-5.39497
7,546,-9,22.1,0.563056,-0.281528,-5.75985
8,558,-12,23.5,0.598724,-0.299362,-6.12473
9,556,2,22.1,0.563056,-0.281528,-5.75985
10,551,5,20.7,0.527387,-0.263694,-5.39497
11,557,-6,22.1,0.563056,-0.281528,-5.75985
12,560,-3,23.5,0.598724,-0.299362,-6.12473
13,560,0,22.1,0.563056,-0.281528,-5.75985
14,552,8,20.7,0.527387,-0.263694,-5.39497
15,552,0,19.3,0.491718,-0.245859,-5.03009
16,553,-1,20.7,0.527387,-0.263694,-5.39497
17,552,1,19.3,0.491718,-0.245859,-5.03009
18,552,0,17.9,0.45605,-0.228025,-4.66522
19,549,3,16.5,0.420381,-0.210191,-4.30034
20,550,-1,17.9,0.45605,-0.228025,-4.66522
21,556,-6,19.3,0.491718,-0.245859,-5.03009
22,556,0,17.9,0.45605,-0.228025,-4.66522
23,549,7,16.5,0.420381,-0.210191,-4.30034
23,558,-9,16.5,0.420381,-0.210191,-4.30034
23_05_23_101410
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,0.382165,0,-3.9094
1,483,-483,16,0.407642,-0.203821,-4.17003
2,535,-52,17.1,0.435668,-0.217834,-4.45672
3,549,-14,18.5,0.471336,-0.235668,-4.82159
4,551,-2,19.9,0.507005,-0.253502,-5.18647
5,551,0,21.3,0.542674,-0.271337,-5.55135
6,553,-2,22.7,0.578342,-0.289171,-5.91622
7,552,1,24.1,0.614011,-0.307006,-6.2811
8,568,-16,25.3,0.644584,-0.322292,-6.59385
9,574,-6,26.7,0.680253,-0.340126,-6.95873
10,583,-9,28.1,0.715922,-0.357961,-7.32361
11,586,-3,29.5,0.75159,-0.375795,-7.68849
12,590,-4,30.9,0.787259,-0.39363,-8.05336
13,591,-1,32.3,0.822928,-0.411464,-8.41824
14,587,4,33.7,0.858596,-0.429298,-8.78312
15,534,53,34.8,0.886622,-0.443311,-9.06981
16,794,-260,35.8,0.9121,-0.45605,-9.33043
16,789,5,35.8,0.9121,-0.45605,-9.33043
23_05_23_101753
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,3.9094,0,0.382165
1,461,-461,16,4.17003,-2.08501,0.407642
2,359,102,17,4.43065,-2.21533,0.43312
3,351,8,18.4,4.79553,-2.39776,0.468788
4,343,8,19.8,5.16041,-2.5802,0.504457
5,344,-1,21.2,5.52528,-2.76264,0.540126
6,325,19,22.4,5.83804,-2.91902,0.570699
7,314,11,23.8,6.20291,-3.10146,0.606368
8,305,9,25.2,6.56779,-3.2839,0.642036
9,291,14,26.6,6.93267,-3.46633,0.677705
9,284,7,26.6,6.93267,-3.46633,0.677705
23_05_23_101955
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,-3.9094,0,0.382165
1,458,-458,16,-4.17003,-2.08501,0.407642
2,527,-69,17,-4.43065,-2.21533,0.43312
3,535,-8,18.4,-4.79553,-2.39776,0.468788
4,540,-5,19.8,-5.16041,-2.5802,0.504457
4,543,-3,19.8,-5.16041,-2.5802,0.504457
23_05_23_102630
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,15,3.9094,0,0.382165
1,481,-481,16,4.17003,-2.08501,0.407642
2,376,105,17,4.43065,-2.21533,0.43312
3,352,24,18.2,4.74341,-2.3717,0.463693
4,349,3,19.6,5.10828,-2.55414,0.499362
5,338,11,21,5.47316,-2.73658,0.53503
6,334,4,22.4,5.83804,-2.91902,0.570699
7,319,15,23.8,6.20291,-3.10146,0.606368
8,306,13,25.2,6.56779,-3.2839,0.642036
9,300,6,26.6,6.93267,-3.46633,0.677705
10,285,15,28,7.29755,-3.64877,0.713374
